79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
79,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,79
79,fpasto01,fpasto02,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,79
79,fpasto01,fpasto02,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,79,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,79
79,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,79
79,fpasto01,fpasto01,fpasto02,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,79
79,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,79,79,79,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,79
79,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,79
79,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,yindiana2|fpasto02,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,79
79,fpasto01,fpasto01,79,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,yindiana3|fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,fpasto01,79
